x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
-9.700643264433186e-5,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557,-0.007038040034471557
-0.00011791192516938938,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559,-0.007759767719810559
-0.00014202711803456633,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432,-0.008516767256259432
-0.0001696648569851405,-0.009309048013340924,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926,-0.009309048013340926
-0.00020115253873128657,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081,-0.010136619795169081
-0.00023683211094807584,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034,-0.010999492840283034
-0.0002770600722754764,-0.011897677821472885,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887,-0.011897677821472887
-0.0003222074723183524,-0.012831185845597575,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578,-0.012831185845597578
-0.00037265991164646536,-0.013800028453394692,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697,-0.013800028453394697
-0.00042881754179447307,-0.01480421761928211,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118,-0.014804217619282118
